Date,Open,High,Low,Close,Adj Close,Volume
2023-04-28,89.449997,90.330002,89.160004,89.970001,87.214790,6374500
2023-05-01,90.190002,90.519997,87.830002,87.930000,85.237267,7745400
2023-05-02,87.570000,87.570000,85.330002,86.290001,83.647491,6319100
2023-05-03,86.400002,87.180000,84.570000,84.750000,82.154640,6546500
2023-05-04,84.169998,84.449997,81.610001,82.610001,80.080177,10359200
2023-05-05,83.790001,85.019997,83.620003,84.879997,82.280670,8286500
2023-05-08,85.480003,85.570000,84.320000,84.430000,81.844452,5825300
2023-05-09,84.000000,84.910004,83.699997,84.370003,81.786293,4381400
2023-05-10,85.070000,85.220001,82.800003,83.720001,81.156189,4884900
2023-05-11,82.779999,82.820000,81.620003,82.629997,80.099571,6717800
2023-05-12,83.000000,83.269997,81.669998,82.389999,79.866920,5208200
2023-05-15,82.669998,83.379997,82.250000,82.949997,80.409767,5032100
2023-05-16,82.720001,83.070000,81.809998,81.860001,79.353149,6862900
2023-05-17,82.540001,83.919998,82.500000,83.910004,81.340378,8216700
2023-05-18,83.699997,84.550003,83.019997,84.489998,81.902611,5367700
2023-05-19,83.790001,84.419998,82.230003,82.239998,79.721512,11177500
2023-05-22,82.250000,83.160004,81.910004,82.269997,79.750595,5520000
2023-05-23,82.000000,83.570000,81.889999,82.639999,80.109261,5521200
2023-05-24,82.010002,82.230003,80.739998,81.220001,78.732750,6827800
2023-05-25,81.209999,83.129997,80.980003,83.000000,80.458244,6962700
2023-05-26,82.970001,84.639999,82.830002,83.900002,81.330673,7411600
2023-05-30,84.160004,84.570000,83.110001,83.419998,80.865379,5876800
2023-05-31,83.059998,83.279999,81.129997,81.760002,79.256210,9559200
2023-06-01,82.580002,82.839996,81.470001,82.070000,79.556717,6857500
2023-06-02,82.940002,84.680000,82.940002,84.349998,81.766899,6218100
2023-06-05,84.400002,84.730003,83.220001,83.739998,81.175575,6631900
2023-06-06,83.599998,86.230003,83.269997,85.860001,83.230659,6903900
2023-06-07,86.050003,87.010002,85.779999,86.500000,83.851059,7410800
2023-06-08,86.400002,86.910004,85.180000,86.309998,83.666870,6795900
2023-06-09,86.739998,86.959999,85.660004,86.209999,83.569939,6282600
