Date,Open,High,Low,Close,Adj Close,Volume
2023-07-18,130.350006,131.970001,129.039993,130.809998,127.424744,3786400
2023-07-19,131.500000,132.929993,130.880005,132.699997,129.265823,3229200
2023-07-20,133.130005,135.289993,132.479996,134.639999,131.155624,4174700
2023-07-21,135.130005,136.360001,133.600006,134.080002,130.610107,4030700
2023-07-24,134.320007,135.600006,133.830002,135.410004,131.905701,2622600
2023-07-25,135.089996,135.830002,133.339996,133.600006,130.142548,3849400
2023-07-26,132.759995,135.539993,132.460007,134.470001,130.990021,5180100
2023-07-27,135.330002,138.279999,134.500000,134.500000,131.019257,5538800
2023-07-28,135.850006,136.740005,134.809998,135.000000,131.506302,2957500
2023-07-31,135.259995,136.889999,135.259995,136.470001,132.938263,6055300
2023-08-01,136.330002,136.539993,132.949997,132.990005,129.548340,4060700
2023-08-02,132.199997,134.089996,131.820007,133.539993,130.084106,3562700
2023-08-03,133.229996,134.039993,132.600006,132.729996,129.295044,3723100
2023-08-04,133.800003,134.619995,131.970001,132.529999,129.100220,3479900
2023-08-07,133.020004,133.699997,131.339996,131.940002,128.525513,3036700
2023-08-08,130.619995,131.210007,129.350006,130.979996,127.590340,4359100
2023-08-09,131.350006,132.070007,130.259995,130.600006,127.220177,2761200
2023-08-10,131.250000,132.509995,130.520004,130.919998,127.531891,4375600
2023-08-11,130.029999,131.690002,130.020004,131.050003,127.658524,3802400
2023-08-14,130.729996,131.820007,128.869995,129.419998,126.070717,4425100
2023-08-15,127.949997,129.320007,124.959999,125.050003,122.858032,9416500
2023-08-16,135.000000,135.250000,127.529999,128.750000,126.493172,23754400
2023-08-17,128.539993,132.850006,128.429993,130.110001,127.829330,8659600
2023-08-18,129.610001,132.419998,129.059998,131.210007,128.910065,5754500
2023-08-21,130.490005,131.750000,127.430000,127.790001,125.550003,5928600
2023-08-22,125.519997,126.070000,122.639999,124.940002,122.749962,8792900
2023-08-23,124.320000,125.389999,122.790001,123.209999,121.050285,4797500
2023-08-24,122.620003,124.440002,122.120003,124.099998,121.924675,4308100
2023-08-25,124.000000,124.099998,120.750000,121.790001,119.655182,7279700
2023-08-28,121.930000,123.730003,121.440002,123.430000,121.266426,5116600
2023-08-29,123.820000,127.660004,123.769997,126.160004,123.948578,5267400
2023-08-30,125.769997,127.349998,125.370003,126.949997,124.724724,3276700
2023-08-31,126.349998,127.699997,125.839996,126.550003,124.331741,4234600
2023-09-01,127.550003,127.699997,125.150002,125.519997,123.319786,2995500
2023-09-05,125.419998,127.470001,125.000000,125.190002,122.995583,3427300
2023-09-06,125.190002,125.470001,123.129997,123.709999,121.541519,3562100
2023-09-07,123.849998,124.879997,123.519997,124.459999,122.278374,3267200
2023-09-08,124.360001,124.730003,122.529999,123.690002,121.521873,2923200
2023-09-11,124.349998,124.610001,122.540001,122.669998,120.519753,2613100
2023-09-12,122.900002,123.480003,122.250000,122.400002,120.254486,2930600
2023-09-13,122.739998,123.680000,122.489998,122.930000,120.775192,2541500
2023-09-14,123.599998,124.959999,122.809998,124.769997,122.582939,3760900
2023-09-15,124.760002,125.099998,122.720001,123.050003,120.893089,4918700
2023-09-18,122.919998,122.919998,118.550003,119.339996,117.248116,5415200
2023-09-19,119.459999,120.790001,118.949997,120.169998,118.063568,4056200
2023-09-20,120.580002,121.540001,120.070000,120.410004,118.299370,3263500
2023-09-21,119.550003,120.339996,116.879997,117.320000,115.263527,4133200
2023-09-22,116.970001,117.370003,112.540001,112.599998,110.626259,6593700
2023-09-25,112.110001,112.750000,110.529999,112.260002,110.292229,5353300
2023-09-26,111.360001,112.389999,109.120003,109.480003,107.560959,6022200
2023-09-27,109.379997,110.639999,108.489998,109.739998,107.816391,4498100
2023-09-28,109.540001,110.480003,108.150002,109.559998,107.639549,4676500
2023-09-29,110.370003,111.650002,109.879997,110.570000,108.631844,4737200
2023-10-02,110.349998,110.389999,105.750000,106.690002,104.819862,6121300
2023-10-03,106.180000,108.589996,106.180000,107.160004,105.281624,5370300
2023-10-04,108.400002,108.400002,105.750000,106.620003,104.751091,5523100
2023-10-05,105.870003,106.699997,104.629997,105.150002,103.306854,4749300
2023-10-06,104.750000,106.269997,102.930000,105.010002,103.169312,7547600
2023-10-09,105.239998,106.120003,103.739998,105.760002,103.906166,4819900
2023-10-10,106.449997,111.160004,106.209999,109.629997,107.708321,6791800
2023-10-11,110.120003,110.410004,106.930000,108.989998,107.079544,3977400
2023-10-12,112.989998,113.000000,109.510002,110.800003,108.857819,6497300
2023-10-13,111.209999,112.230003,110.010002,111.980003,110.017136,4651400
2023-10-16,112.559998,112.790001,109.790001,111.389999,109.437469,3872700
2023-10-17,111.180000,113.180000,110.750000,112.559998,110.586967,3387900
2023-10-18,111.940002,111.970001,109.930000,110.209999,108.278152,2940800
2023-10-19,110.220001,110.900002,108.330002,108.360001,106.460587,4249500
2023-10-20,108.250000,110.239998,107.699997,108.830002,106.922348,4213700
2023-10-23,108.089996,108.449997,106.660004,107.419998,105.537064,3189800
2023-10-24,107.669998,109.230003,107.309998,108.680000,106.774979,2518100
2023-10-25,108.430000,111.080002,107.919998,110.360001,108.425529,4123200
2023-10-26,110.199997,111.910004,109.989998,110.870003,108.926590,3092400
2023-10-27,110.519997,111.099998,106.889999,107.230003,105.350395,3448200
2023-10-30,107.760002,109.099998,106.599998,108.669998,106.765144,3852700
2023-10-31,108.879997,111.279999,108.459999,110.790001,108.847992,5549400
2023-11-01,111.080002,111.080002,108.610001,109.540001,107.619904,3081500
2023-11-02,110.239998,111.830002,108.919998,111.070000,109.123077,3817800
2023-11-03,112.199997,114.209999,112.080002,112.849998,110.871880,4340100
2023-11-06,113.290001,113.440002,110.919998,111.050003,109.103439,3696200
2023-11-07,110.830002,112.669998,110.800003,111.349998,109.398178,2859100
2023-11-08,111.040001,111.940002,109.300003,109.849998,107.924461,4514000
2023-11-09,110.309998,110.309998,106.330002,106.790001,104.918106,5604600
2023-11-10,107.110001,108.629997,105.230003,108.330002,106.431114,6235800
2023-11-13,108.720001,108.830002,107.129997,107.300003,105.419174,4016000
2023-11-14,108.250000,112.309998,108.080002,110.790001,109.975418,7656100
2023-11-15,126.080002,131.529999,124.879997,130.460007,129.500809,32230800
2023-11-16,127.260002,130.809998,127.190002,129.940002,128.984619,12033200
2023-11-17,130.380005,131.089996,128.899994,129.889999,128.934982,5982500
2023-11-20,129.350006,130.229996,128.369995,129.649994,128.696747,5810200
