Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,33850.000000,34250.000000,33550.000000,34250.000000,32394.089844,276050
2023-05-03,34150.000000,34200.000000,33800.000000,33900.000000,32063.054688,128137
2023-05-04,33700.000000,34400.000000,33700.000000,34350.000000,32488.669922,322974
2023-05-08,34350.000000,35200.000000,34350.000000,35100.000000,33198.031250,529050
2023-05-09,35100.000000,35150.000000,34500.000000,34600.000000,32725.123047,182189
2023-05-10,34700.000000,35000.000000,34500.000000,34800.000000,32914.285156,148278
2023-05-11,34950.000000,35300.000000,34700.000000,34850.000000,32961.578125,288223
2023-05-12,35200.000000,35450.000000,34350.000000,34800.000000,32914.285156,267110
2023-05-15,34550.000000,35100.000000,34550.000000,35100.000000,33198.031250,214926
2023-05-16,35050.000000,35450.000000,35000.000000,35200.000000,33292.609375,242890
2023-05-17,35200.000000,35350.000000,34950.000000,35250.000000,33339.902344,204224
2023-05-18,35250.000000,35350.000000,34900.000000,35150.000000,33245.320313,153257
2023-05-19,35150.000000,35350.000000,34900.000000,35250.000000,33339.902344,240496
2023-05-22,35250.000000,35800.000000,35150.000000,35750.000000,33812.808594,366154
2023-05-23,35800.000000,36100.000000,35750.000000,36000.000000,34049.261719,253685
2023-05-24,35750.000000,36300.000000,35750.000000,36300.000000,34333.003906,258263
2023-05-25,36250.000000,36350.000000,35950.000000,36200.000000,34238.425781,240071
2023-05-26,35900.000000,36100.000000,35600.000000,36000.000000,34049.261719,204399
2023-05-30,36000.000000,36350.000000,35950.000000,36150.000000,34191.132813,267950
2023-05-31,36150.000000,36900.000000,36150.000000,36750.000000,34758.621094,980248
2023-06-01,36650.000000,36950.000000,36000.000000,36250.000000,34285.714844,315385
2023-06-02,36500.000000,36750.000000,36250.000000,36600.000000,34616.750000,178804
2023-06-05,36750.000000,37000.000000,36600.000000,37000.000000,34995.074219,160135
2023-06-07,37200.000000,37400.000000,36950.000000,37050.000000,35042.363281,252733
2023-06-08,37000.000000,37150.000000,36750.000000,37000.000000,34995.074219,273002
2023-06-09,37250.000000,37250.000000,36750.000000,37100.000000,35089.656250,213187
2023-06-12,37150.000000,37150.000000,36400.000000,36750.000000,34758.621094,161416
2023-06-13,36950.000000,37400.000000,36600.000000,37300.000000,35278.816406,271008
2023-06-14,37300.000000,37400.000000,36650.000000,37050.000000,35042.363281,284179
2023-06-15,37000.000000,37000.000000,36400.000000,36600.000000,34616.750000,227092
2023-06-16,36700.000000,36900.000000,36250.000000,36350.000000,34380.296875,323056
2023-06-19,36250.000000,36450.000000,36050.000000,36400.000000,34427.585938,111408
2023-06-20,36200.000000,36450.000000,35850.000000,36100.000000,34143.843750,184985
2023-06-21,36250.000000,36300.000000,35700.000000,36250.000000,34285.714844,271182
2023-06-22,36250.000000,36250.000000,35700.000000,36100.000000,34143.843750,102419
2023-06-23,36000.000000,36100.000000,35350.000000,35600.000000,33670.937500,163379
2023-06-26,35500.000000,36400.000000,35450.000000,36300.000000,34333.003906,156241
2023-06-27,36250.000000,36300.000000,35700.000000,35750.000000,33812.808594,154115
2023-06-28,36300.000000,36300.000000,35650.000000,36000.000000,34049.261719,126509
2023-06-29,35900.000000,36300.000000,35500.000000,35500.000000,33576.355469,131161
2023-06-30,35850.000000,36100.000000,35450.000000,36000.000000,34049.261719,129978
2023-07-03,36100.000000,36250.000000,36000.000000,36200.000000,34238.425781,144180
2023-07-04,36050.000000,36150.000000,35850.000000,35950.000000,34001.972656,87215
2023-07-05,35800.000000,35950.000000,35350.000000,35450.000000,33529.066406,119742
2023-07-06,35500.000000,36150.000000,35000.000000,35200.000000,33292.609375,271975
2023-07-07,34950.000000,35000.000000,34250.000000,34800.000000,32914.285156,185974
2023-07-10,34600.000000,35250.000000,34300.000000,34850.000000,32961.578125,112672
2023-07-11,35000.000000,35350.000000,34800.000000,35350.000000,33434.484375,141504
2023-07-12,35350.000000,35400.000000,34900.000000,35100.000000,33198.031250,124036
2023-07-13,35000.000000,35750.000000,35000.000000,35400.000000,33481.773438,191806
2023-07-14,35800.000000,37000.000000,35600.000000,36900.000000,34900.492188,492757
2023-07-17,36700.000000,36900.000000,36400.000000,36700.000000,34711.332031,196540
2023-07-18,36750.000000,36750.000000,36100.000000,36100.000000,34143.843750,168481
2023-07-19,36500.000000,36800.000000,35950.000000,36200.000000,34238.425781,152437
2023-07-20,35950.000000,36550.000000,35950.000000,36200.000000,34238.425781,184229
2023-07-21,36000.000000,36350.000000,35850.000000,36250.000000,34285.714844,129344
2023-07-24,36150.000000,36150.000000,35300.000000,35400.000000,33481.773438,228870
2023-07-25,35400.000000,35650.000000,35000.000000,35400.000000,33481.773438,136713
2023-07-26,35250.000000,35300.000000,34200.000000,34700.000000,32819.703125,326506
2023-07-27,34700.000000,35800.000000,34700.000000,35800.000000,33860.097656,203490
